Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
293180,B003YVMUFK,A6LED509IALBT,Jennifer Milligan,0,0,5,1347062400,My old almost toothless dog loves it!,"My 12 year old Toy Fox Terrier who is missing all but 6 teeth also has a sensitive stomach. The wrong food will make him vomit or go on a grass eating fast. The ingredients in this food are quality, and the limited ingredients are easier for him to digest. I have also been told that grain free is easier on aging kidneys and liver; both of which have been a problem for my old dog. This is his favorite flavor, but the Venison is also yummy (to him, I've never tried it)"
293181,B003YVMUFK,AMLIRJ3CL48W2,Anne Bellone-Couvertier,0,0,5,1337558400,Vet Recommended Food,"Our Vet is very much into quality nutrition for our pets and recommended this dog food.  Right away you can see the difference from a good quality food as opposed to the bargin brand.  The food is so clean and doesn't stick to the can like the cheaper ones that are filled with grease and fat and all kinds of other horrors you need to know about.  Do you know that our dogs and cats have been eating diseased animals, in addition to eating the remains of their own species who have been euthanized.  Did you know that the makers of dry dog and cat food spray used grease on the food to make it more palatable?  Well, they do.  These things and more are what we've been unknowingly feeding our pets...food so dangerous that the incidents of cancer amoung our cats and dogs is running rampent.  Quality food may cost more, but I'd rather pay a little extra than have one more of my pets die from cancer.  Do yourselves and your beloved pets a favor, feed them a good quality food.  Others besides Natural Balance include Royal Canin and Blue Buffalo, plus more.  The higher priced foods in your grocery stores (Iams, Science Diet) are on the list of BAD foods.  Do a little research, you'll be shocked by what you discover. I highly recommend this food."
293182,B003YVMUFK,A10GKM76NOQLGE,nachoboypeter,0,0,3,1334966400,TRY FIRST BEFORE BUYING THE CASE,"Had to stop giving to my dog, still to mushy for my Jack Russel Terrier. Some Pedigree dog's can not digest properly even though it is for Limited Diet's. You have to try first for just a couple of days."
293183,B003ZI7HL4,A3URI2LGMX2QDB,"msjr ""mary""",1,1,5,1326758400,outstanding butter rum coffee,"this is a really delicious butter rum coffee.  I have been trying, to no avail, to find one that was as good as the one the Fresh Market discontinued and this one is it!!! Thank you so much for making this great flavor."
293184,B003ZI7HL4,A1KP2XIA49UTWY,Sheridennm,1,1,5,1324857600,delish!,I really love the flavor of this coffee.  It smells and tastes great.  Comparable to any high end flavored coffee.
293185,B000LKXNG2,A1R5SQAWC1D745,Terrence Walsh,20,20,5,1179187200,Converted me to organic foods...sorta,I really hate that I bought this stuff.  I originally bought it to try the Master Cleansing diet.  After I read the book it sounded like a bad idea so I put it on some pancakes instead.  It was so good I'm not sure I can ever go back to that flavored corn syrup they sell in the stores.  Now my pancake habit is sure to cost me both extra dollars and extra pounds.  I'm not sure why anyone would buy grade A...grade B tastes incredible.
293186,B000LKXNG2,A2D2XOBXVF2V07,Bobbygeorge,16,16,5,1188518400,Hooray for Grade B!,"I was a little hesitant to order ths, since Grade B is described as having a ""stronger"" flavor than Grade A, and often used in cooking.  I am delighted to report the flavor is NOT to strong, and is perfect on pancakes and waffles.  This syrup is of excellent quality at a good price, and I will continue to order it.  I pity those folks out there who think Log Cabin or Mrs. Butterworth's is what you're supposed to use on your pancakes."
293187,B000LKXNG2,A1LSGIV91BUKP3,"Jacob George ""jkg""",12,12,5,1182902400,"Good flavor, great bottle!","Flavor was good, bold enough to stand up against whatever it accompanied.  The great feature is the no-spill feature of the jug.  Not once did a drop of this stuff dribble along the edges or make a mess... pours great!"
293188,B000LKXNG2,AKMEY1BSHSDG7,J. Arena,5,5,5,1190505600,"Grade B? No way, I give it an A+!","I confess that I was once of those shoppers who picked up the store brand of maple syrup, because -- hey, what's the difference. Syrup is syrup, right?<br /><br />WRONG! Once you taste Shady Maple Farms Organic Maple Syrup, you'll toss those drippy, leaky, off-tasting supermarket syrups in the trash.<br /><br />Try a little of this on oatmeal, and you will be in heaven!"
293189,B000LKXNG2,A1DPZ2MW5V23SX,Jerrice Pratt,3,3,5,1251936000,Very high quality,"We have been using this brand of maple syrup for over 6 years.  The B grade has more minerals than A grade.  We use this syrup when we fast occasionally; I use it in cooking muffins weekly and my husband loves it on bread and even uses it to sweeten his cereal.  We have tried other maple syrups but find Shady Maple Farms Organic Maple Syrup to be superior.  I also love ordering this product from Amazon because the shipping is sometimes zero and often very low and therefore is cheaper than buying in local retail stores.  JJ, Fairview, TX"
293190,B000LKXNG2,A1OD0MT3I6ZVC7,K. Carroll,2,2,5,1231977600,"great syrup, fantastic cap","There are a lot of good real maple syrups available, but this is the best syrup bottle design I've ever come across.  The cap pops open and has a nice spout set into a ""well"" - somewhat similar to the design of a no-drip laundry detergent bottle.  Any excess syrup goes back into the bottle, and it doesn't build up around the edge of the cap.  No sticky caps - even on the last pour."
293191,B000LKXNG2,A2XBFVW4EE13AH,"Jo-Ann Murphy ""Lightstar""",2,2,5,1198886400,Premier Maple Syrup,"Shady Maple sets the bar for all syrup.  Superb flavor.  Organic methods.  100% maple syrup, no garbage.  Absolutely outstanding.  I am so sorry it is now out of stock!!!"
293192,B000LKXNG2,A2WVF9ZQ068DN0,Living it up,1,1,4,1278720000,"Thick, rich maple flavor with a bitter edge","I love the thickness and robust richness of this syrup.<br />However, it has a slightly bitter edge to it that takes some of the maple joy out of using this on pancakes, waffles, and oatmeal.  I give it 3 stars for using on these foods (which is what most people use syrup for).<br />It is a very good syrup for baking...rich enough that it doesn't get lost among other ingredients.  I give this 5 stars for baking."
